platform,release_date,game_name,db_name,year
PS2,15-Jul-04,McFarlane's Evil Prophecy,McFarlane's Evil Prophecy,2004
PC,3-Nov-03,Drake of the 99 Dragons,Drake of the 99 Dragons,2003
XB,14-Jun-04,Drake of the 99 Dragons,Drake of the 99 Dragons,2004
Wii,23-Mar-10,Build-A-Bear Workshop: Friendship Valley,Build-A-Bear Workshop: Friendship Valley,2010
XB,24-Sep-02,Rayman Arena,Rayman Arena,2002
GC,24-Sep-02,Rayman Arena,Rayman Arena,2002
Wii,17-Jun-11,National Geographic Challenge!,National Geographic Challenge!,2011
PC,17-Mar-11,National Geographic Challenge!,National Geographic Challenge!,2011
PS3,8-Apr-11,National Geographic Challenge!,National Geographic Challenge!,2011
X360,8-Apr-11,National Geographic Challenge!,National Geographic Challenge!,2011
DS,7-Jul-06,Alex Rider: Stormbreaker,Alex Rider: Stormbreaker,2006
GBA,7-Jul-06,Alex Rider: Stormbreaker,Alex Rider: Stormbreaker,2006
DS,2-Sep-06,Chosoju Mecha MG,Chou Soujuu Mecha MG,2006
PS2,21-Nov-05,Combat Elite: WWII Paratroopers,Combat Elite: WWII Paratroopers,2005
XB,21-Nov-05,Combat Elite: WWII Paratroopers,Combat Elite: WWII Paratroopers,2005
Wii,19-Oct-10,Flip's Twisted World,Flip's Twisted World,2010
XB,14-Mar-06,Tom Clancy's Rainbow Six: Critical Hour,Tom Clancy's Rainbow Six: Critical Hour,2006
Wii,15-Jul-11,Captain America: Super Soldier,Captain America: Super Soldier,2011
PC,9-Oct-07,Mountain Bike Adrenaline,Mountain Bike Adrenaline,2007
PS2,16-Oct-07,Mountain Bike Adrenaline,Mountain Bike Adrenaline,2007
GBA,7-Jan-16,Drill Dozer,Drill Dozer,2016
DS,19-Jul-11,Captain America: Super Soldier,Captain America: Super Soldier,2011
DS,8-Aug-08,Race Driver: Grid,GRID,2008
PS3,2-Jul-11,Tour de France 2011,Tour de France 2011,2011
X360,2-Jul-11,Tour de France 2011,Tour de France 2011,2011
Wii,1-Jun-11,Reader Rabbit 2nd Grade,Reader Rabbit 2nd Grade,2011
PC,12-Apr-99,RollerCoaster Tycoon,RollerCoaster Tycoon,1999
XB,31-Mar-99,RollerCoaster Tycoon,RollerCoaster Tycoon,1999
Wii,17-May-11,Battle vs. Chess,Battle vs. Chess,2011
PC,7-May-07,Battle vs. Chess,Battle vs. Chess,2007
